origin,name,lon,lat,n,stranded_frac,t_strand_med_h,Z01,Z02,Z03,Z04,Z13,Z14,Z05,Z15,Z06,Z16,Z07,Z08,Z09,Z10,Z11,Z00,Z12,dominant,dominant_frac
C00000,C00000,26.3633,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00001,C00001,26.3748,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00002,C00002,26.6741,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00003,C00003,26.6856,38.3135,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00004,C00004,26.3173,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00005,C00005,26.3288,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00006,C00006,26.3518,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00007,C00007,26.3633,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00008,C00008,26.3748,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00009,C00009,26.3978,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00010,C00010,26.4094,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00011,C00011,26.6626,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00012,C00012,26.6741,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00013,C00013,26.6856,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00014,C00014,26.6971,38.3225,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00015,C00015,26.3173,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00016,C00016,26.3288,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00017,C00017,26.3403,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00018,C00018,26.3518,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00019,C00019,26.3633,38.3315,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00020,C00020,26.3748,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00021,C00021,26.3978,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00022,C00022,26.4094,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00023,C00023,26.6626,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00024,C00024,26.6741,38.3315,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00025,C00025,26.6856,38.3315,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00026,C00026,26.3173,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00027,C00027,26.3288,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00028,C00028,26.3403,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00029,C00029,26.3518,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00030,C00030,26.3633,38.3405,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00031,C00031,26.3748,38.3405,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00032,C00032,26.3863,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00033,C00033,26.3978,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00034,C00034,26.4094,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00035,C00035,26.4209,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00036,C00036,26.4324,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00037,C00037,26.6511,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00038,C00038,26.6626,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00039,C00039,26.6741,38.3405,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00040,C00040,26.6856,38.3405,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00041,C00041,26.3288,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00042,C00042,26.3403,38.3495,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00043,C00043,26.3518,38.3495,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00044,C00044,26.3633,38.3495,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00045,C00045,26.3748,38.3495,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00046,C00046,26.3863,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00047,C00047,26.3978,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00048,C00048,26.4094,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00049,C00049,26.4209,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00050,C00050,26.4324,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00051,C00051,26.4439,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.950,0.000,0.000,0.000,0.000,0.000,Z08,0.950
C00052,C00052,26.6511,38.3495,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00053,C00053,26.6626,38.3495,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00054,C00054,26.6741,38.3495,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00055,C00055,26.3173,38.3586,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00056,C00056,26.3288,38.3586,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00057,C00057,26.3403,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00058,C00058,26.3518,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00059,C00059,26.3633,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00060,C00060,26.3748,38.3586,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00061,C00061,26.3863,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00062,C00062,26.3978,38.3586,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00063,C00063,26.4094,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00064,C00064,26.4209,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00065,C00065,26.4324,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00066,C00066,26.4439,38.3586,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.933,0.000,0.000,0.000,0.000,0.000,Z08,0.933
C00067,C00067,26.6511,38.3586,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00068,C00068,26.6626,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00069,C00069,26.6741,38.3586,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00070,C00070,26.8008,38.3586,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00071,C00071,26.8123,38.3586,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00072,C00072,26.3058,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00073,C00073,26.3173,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00074,C00074,26.3288,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00075,C00075,26.3403,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00076,C00076,26.3518,38.3676,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00077,C00077,26.3633,38.3676,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00078,C00078,26.3748,38.3676,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00079,C00079,26.3863,38.3676,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00080,C00080,26.3978,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00081,C00081,26.4094,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00082,C00082,26.4209,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00083,C00083,26.4324,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00084,C00084,26.4439,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.917,0.000,0.000,0.000,0.000,0.000,Z08,0.917
C00085,C00085,26.4554,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.717,0.000,0.000,0.000,0.283,0.000,0.000,0.000,0.000,0.000,Z15,0.717
C00086,C00086,26.4669,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,Z15,0.967
C00087,C00087,26.6511,38.3676,60,1.000,4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00088,C00088,26.6626,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00089,C00089,26.6741,38.3676,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00090,C00090,26.7662,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00091,C00091,26.7777,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00092,C00092,26.7892,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00093,C00093,26.8008,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00094,C00094,26.8123,38.3676,60,1.000,4.5,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00095,C00095,26.8238,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00096,C00096,26.8353,38.3676,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00097,C00097,26.3058,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00098,C00098,26.3173,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00099,C00099,26.3288,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00100,C00100,26.3403,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00101,C00101,26.3518,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00102,C00102,26.3633,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00103,C00103,26.3748,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00104,C00104,26.3863,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00105,C00105,26.3978,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00106,C00106,26.4094,38.3766,60,1.000,7.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00107,C00107,26.4209,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00108,C00108,26.4324,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00109,C00109,26.4439,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.950,0.000,0.000,0.000,0.000,0.000,Z08,0.950
C00110,C00110,26.4554,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.383,0.000,0.000,0.000,0.617,0.000,0.000,0.000,0.000,0.000,Z08,0.617
C00111,C00111,26.4669,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,Z15,0.950
C00112,C00112,26.4784,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00113,C00113,26.6396,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00114,C00114,26.6511,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00115,C00115,26.6626,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00116,C00116,26.6741,38.3766,60,1.000,9.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z15,1.000
C00117,C00117,26.7662,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00118,C00118,26.7777,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00119,C00119,26.7892,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00120,C00120,26.8008,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00121,C00121,26.8123,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00122,C00122,26.8238,38.3766,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00123,C00123,26.8353,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00124,C00124,26.8468,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00125,C00125,26.8583,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00126,C00126,26.8698,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00127,C00127,26.8813,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00128,C00128,26.8928,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00129,C00129,26.9044,38.3766,60,1.000,3.0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Z05,1.000
C00130,C00130,26.3058,38.3856,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00131,C00131,26.3173,38.3856,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
C00132,C00132,26.3288,38.3856,60,1.000,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,Z08,1.000
